Category: Picked for you
Name: MILKA ALPINE MILK 100G | Price: LKR 6.49
Name: WHOZEEWHATZIT KING 73G | Price: LKR 5.59
Name: MILKA MILKINIS 109.4G | Price: LKR 6.49
Name: AERO PEPPERMINT UK 90G | Price: LKR 6.49
Name: McVITIE'S CLUB ORANGE UK 132G | Price: LKR 7.99
Name: McVITIE'S PEN GUIN ORIGINAL UK 147.6G | Price: LKR 7.99
Name: GALAXY CRISPY UK 102 G | Price: LKR 7.99
Name: GALAXY SMOOTH MILK UK 110G | Price: LKR 7.99
Name: GALAXY COOKIE CRUMBLE UK 114G | Price: LKR 7.99
Name: DAIRY MILK FRUIT & NUT UK 180G | Price: LKR 11.99
Name: MILKYBAR UK 90G | Price: LKR 6.99


Category: Candy
Name: TWIZZLERS STRAWBERRY 227g | Price: LKR 4.99
Name: SKITTLES ORIGINAL 191g | Price: LKR 5.99
Name: MAYNARDS SWEDISH BERRIES 185g | Price: LKR 5.99
Name: RIP ROLLS BLUE RASPBERRY 40inches | Price: LKR 3.29
Name: RIP ROLLS CHERRY 40inches | Price: LKR 3.29
Name: MAYNARDS WINE GUMS 170g | Price: LKR 5.99
Name: MAYNARDS ORIGINAL GUMMIES 170g | Price: LKR 5.99
Name: MIKE AND IKE MEGA MIX 10 FLAVOURS SOUR! 141G | Price: LKR 4.99
Name: DAIRY MILK EUROPE 180G | Price: LKR 8.99
Name: WHOPPERS 141g | Price: LKR 4.99
Name: CADBURY DAIRY MILK EUROPE | Price: LKR 7.99
Name: AIRHEADS FILLED ROPES ORIGINAL FRUIT 57G | Price: LKR 3.50
Name: AERO STRAWBERRY SCOOP 42G | Price: LKR 3.49
Name: WHIRLY POP 42G | Price: LKR 3.49
Name: AIRHEADS XTREMES RAINBOW BERRY SOUR 57G | Price: LKR 3.99
Name: McVITIE'S PENGUI ORIGINAL | Price: LKR 7.79
Name: MAYNARDS CHERRY BLASTER 185g | Price: LKR 5.89
Name: REAL FRUIT SOURS SUMMERFRUIT BURST 180g | Price: LKR 5.99
Name: MCVITIE'S CLUB ORANGE | Price: LKR 7.50
Name: CANDY JACKPOT SLOT MACHINR | Price: LKR 5.34
Name: SOUR BLAST CANDY SPRAY | Price: LKR 4.34
Name: BUNCHA CRUNCH 90g | Price: LKR 4.99
Name: SKITTLES ORGINAL 191g | Price: LKR 5.99
